,Amda,Augmix,Batch Size,DeepAugment,Epochs,Hydra Amda,Hydra Loss,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,LearningRate,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Teacher,Temperature,WeightDecay
90,True,True,,True,30,,,11.04000210762024,27.09546685218811,50.63372850418091,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/combined/kd_l1_channels_resnet18_amda/9,0.3,L¹ Filter,1.4285714285714286,1.0,,,AMDA ResNet50,,0.0002
300,False,True,,False,100,,,34.039998054504395,52.9011607170105,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.1_augmix_0.2/prune_ratio_8,,L¹ Filter,8,1.0,,,custom,,0.0002
270,False,False,,False,90,,,9.50000286102296,46.539735794067376,64.34299051761627,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/mixture/crd_kd_std/1,,,,1.0,,,SWSL ResNet50,,0.0002
180,True,True,,True,60,,,17.680001258850098,36.49573922157287,58.497154712677,0.1,AttentionDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/combined/at_uniform_resnet18_amda/11,0.7,Not Listed!,3.333333333333333,1.0,,,AMDA ResNet50,,0.0002
8,True,True,,True,30,,,,,,0.01,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs/kd_adma_analysis/22,0.5,L¹ Filter,2.0,1.45,,,AMDA ResNet50,,0.0002
90,True,True,,True,30,,,88.62000033259392,94.24426555633544,91.10838100314142,0.1,StandardLoss,mnasnet1_0,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mnasnet/hydra_amda/1,,,,1.0,,,,,0.0002
300,False,True,,False,100,,,24.320000410079956,35.24842262268066,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.0/crd_0.6/prune_ratio_1.3,,L¹ Filter,1.3,1.0,,,custom,,0.0002
90,True,True,,True,30,,,12.84000277519226,30.32052516937256,53.692448139190674,0.053,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_3_mixture_0.8_lr_0.053_decay_5e-05/0,,,,1.0,,,AMDA ResNet50,,5e-05
300,False,False,128.0,False,100,,,28.43000292778015,52.875787019729614,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/standard/8,0.75,L¹ Filter,4.0,1.45,StandardLoss,False,,,0.0002
300,False,False,,False,100,,,48.750001192092896,55.92483878135681,,5.0,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/debug/debug_cifar10,,,,1.0,,,,,0.0002
300,False,True,,False,100,,,24.260002374649048,35.38883924484253,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.3/crd_0.9/kd_0.7/prune_ratio_1.7,,L¹ Filter,1.7,1.0,,,custom,,0.0002
6,False,False,,False,100,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-04-02/17-02-26,0.5,Global Weight,2.0,1.0,,,,,0.0002
300,False,True,,False,100,,,24.449998140335083,35.74305772781372,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.6_augmix_0.8/prune_ratio_1.5,,L¹ Filter,1.5,1.0,,,custom,,0.0002
