,Amda,Augmix,Batch Size,DeepAugment,Epochs,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,LearningRate,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Temperature,WeightDecay,kd_T,kd_mixture
270,False,False,,False,90,11.94000244140625,50.82134008407593,68.0548369884491,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/network2,,,,1.0,,,,0.0002,,
270,False,False,,False,90,11.8399977684021,50.71786642074585,68.13243627548218,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/network3,,,,1.0,,,,0.0002,,
0,False,False,,False,0,10.039997100830078,47.62640595436096,65.92084765434265,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/performance_ensemble_unpruned,,,,1.0,,,,0.0002,,
270,False,False,256.0,False,90,10.799998044967651,49.54826831817627,66.53517782688141,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network1/0,0.1,L¹ Filter,1.1111111111111112,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,11.440002918243408,50.06800293922424,67.2077089548111,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network1/1,0.25,L¹ Filter,1.3333333333333333,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,12.059998512268066,52.747464179992676,67.30470657348633,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network1/2,0.5,L¹ Filter,2.0,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,15.02000093460083,57.051992416381836,68.91489923000336,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network1/3,0.7,L¹ Filter,3.333333333333333,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,30.379998683929443,72.65120148658752,79.64950799942017,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network1/4,0.9,L¹ Filter,10.000000000000002,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,10.780000686645508,49.85760450363159,66.502845287323,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network2/0,0.1,L¹ Filter,1.1111111111111112,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,11.51999831199646,50.60933828353882,67.2400414943695,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network2/1,0.25,L¹ Filter,1.3333333333333333,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,12.459999322891235,52.537596225738525,67.58277416229248,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network2/2,0.5,L¹ Filter,2.0,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,14.740002155303955,57.51892924308777,69.95602548122406,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network2/3,0.7,L¹ Filter,3.333333333333333,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,29.46000099182129,72.68693447113037,79.07397896051407,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network2/4,0.9,L¹ Filter,10.000000000000002,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,11.540001630783081,49.42719936370849,66.83264374732971,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network3/0,0.1,L¹ Filter,1.1111111111111112,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,11.680001020431519,50.31919479370117,67.14304089546204,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network3/1,0.25,L¹ Filter,1.3333333333333333,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,12.480002641677856,52.82160043716431,66.97490811347961,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network3/2,0.5,L¹ Filter,2.0,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,15.10000228881836,57.21333026885986,69.36109662055969,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network3/3,0.7,L¹ Filter,3.333333333333333,1.0,StandardLoss,False,,0.0002,,
270,False,False,256.0,False,90,29.979997873306274,72.81439900398254,79.94050681591034,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/seperated/network3/4,0.9,L¹ Filter,10.000000000000002,1.0,StandardLoss,False,,0.0002,,
270,False,False,,False,90,9.960001707077026,48.25306534767151,66.33471250534058,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/together/0,0.1,L¹ Filter,1.1111111111111112,1.0,,,,0.0002,,
270,False,False,,False,90,10.379999876022339,48.72186779975891,65.83678126335144,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/together/1,0.25,L¹ Filter,1.3333333333333333,1.0,,,,0.0002,,
270,False,False,,False,90,11.379998922348022,50.37386417388916,66.59337878227234,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/together/2,0.5,L¹ Filter,2.0,1.0,,,,0.0002,,
270,False,False,,False,90,12.800002098083496,53.72159481048584,67.77677237987518,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/together/3,0.7,L¹ Filter,3.333333333333333,1.0,,,,0.0002,,
270,False,False,,False,90,23.979997634887695,67.7026629447937,75.52379667758942,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/standard/together/4,0.9,L¹ Filter,10.000000000000002,1.0,,,,0.0002,,
